uf,cidade,qtd_pop
MU,Fronteiras (PI),11625
MU,Geminiano (PI),5442
MU,Gilbués (PI),10690
MU,Guadalupe (PI),10499
MU,Guaribas (PI),4562
MU,Hugo Napoleão (PI),3877
MU,Ilha Grande (PI),9426
MU,Inhuma (PI),15308
MU,Ipiranga do Piauí (PI),9811
MU,Isaías Coelho (PI),8549
MU,Itainópolis (PI),11530
MU,Itaueira (PI),11019
MU,Jacobina do Piauí (PI),5741
MU,Jaicós (PI),19104
MU,Jardim do Mulato (PI),4504
MU,Jatobá do Piauí (PI),4865
MU,Jerumenha (PI),4452
MU,João Costa (PI),3008
MU,Joaquim Pires (PI),14354
MU,Joca Marques (PI),5443
MU,José de Freitas (PI),39208
MU,Juazeiro do Piauí (PI),5478
MU,Júlio Borges (PI),5627
MU,Jurema (PI),4763
MU,Lagoinha do Piauí (PI),2845
MU,Lagoa Alegre (PI),8542
MU,Lagoa do Barro do Piauí (PI),4655
MU,Lagoa de São Francisco (PI),6758
MU,Lagoa do Piauí (PI),4064
MU,Lagoa do Sítio (PI),5177
MU,Landri Sales (PI),5295
MU,Luís Correia (PI),30311
MU,Luzilândia (PI),25486
MU,Madeiro (PI),8310
MU,Manoel Emídio (PI),5349
MU,Marcolândia (PI),8492
MU,Marcos Parente (PI),4549
MU,Massapê do Piauí (PI),6441
MU,Matias Olímpio (PI),10936
MU,Miguel Alves (PI),33760
MU,Miguel Leão (PI),1246
MU,Milton Brandão (PI),6613
MU,Monsenhor Gil (PI),10564
MU,Monsenhor Hipólito (PI),7749
MU,Monte Alegre do Piauí (PI),10613
MU,Morro Cabeça no Tempo (PI),4532
